ASV_ID	taxonomy
ASV_10096	Fungi;Basidiomycota;Geminibasidiomycetes;Geminibasidiales;Geminibasidiaceae;Geminibasidium;NA
ASV_10099	Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Elaphomycetaceae;Elaphomyces;aculeatus
ASV_101	Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Linnemannia;hyalina
ASV_1010	Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Mortierella;gemmifera
ASV_10107	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Clavariaceae;Clavaria;greletoides
ASV_1011	Fungi;Ascomycota;Lecanoromycetes;Pertusariales;Pertusariaceae;Pertusaria;leioplaca
ASV_10117	Fungi;Rozellomycota;NA;NA;NA;NA;NA
ASV_10118	Fungi;Rozellomycota;NA;NA;NA;NA;NA
ASV_10119	Fungi;Rozellomycota;NA;NA;NA;NA;NA
ASV_1012	Fungi;Ascomycota;Sordariomycetes;NA;NA;NA;NA
ASV_10123	Fungi;Basidiomycota;Dacrymycetes;Dacrymycetales;Dacrymycetaceae;NA;NA
ASV_10124	Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Linnemannia;amoeboidea
ASV_10125	Fungi;Basidiomycota;Exobasidiomycetes;Exobasidiales;Exobasidiaceae;Exobasidium;maculosum
ASV_10128	Fungi;Basidiomycota;Agaricomycetes;Boletales;Sclerodermataceae;Scleroderma;areolatum
ASV_1013	Fungi;Ascomycota;Eurotiomycetes;Onygenales;Gymnoascaceae;Gymnoascus;NA
ASV_10136	Fungi;Rozellomycota;NA;NA;NA;NA;NA
ASV_1014	Fungi;Rozellomycota;NA;NA;NA;NA;NA
ASV_10141	Fungi;Ascomycota;Leotiomycetes;Helotiales;Dermateaceae;Coleophoma;NA
ASV_10144	Fungi;Rozellomycota;NA;NA;NA;NA;NA
ASV_10145	Fungi;Ascomycota;Dothideomycetes;Pleosporales;NA;NA;NA
ASV_10147	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;Flammulaster;NA
ASV_1015	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Inocybaceae;Inosperma;rimosoides
ASV_10155	Fungi;Basidiomycota;GS27;NA;NA;NA;NA
ASV_1016	Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Elaphomycetaceae;Elaphomyces;barrioi
ASV_10165	Fungi;Ascomycota;Archaeorhizomycetes;Archaeorhizomycetales;Archaeorhizomycetaceae;Archaeorhizomyces;NA
ASV_10166	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;Cortinarius;NA
ASV_10167	Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;Schizoporaceae;Xylodon;borealis
ASV_10168	Fungi;Rozellomycota;NA;NA;NA;NA;NA
ASV_10169	Fungi;Basidiomycota;Agaricomycetes;NA;NA;NA;NA
ASV_1017	Fungi;NA;NA;NA;NA;NA;NA
ASV_10170	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Stephanosporaceae;Lindtneria;NA
ASV_10171	Fungi;Ascomycota;Sordariomycetes;Chaetosphaeriales;Chaetosphaeriaceae;NA;NA
ASV_10172	Fungi;Rozellomycota;NA;NA;NA;NA;NA
ASV_10173	Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Trichomeriaceae;Trichomerium;lapideum
ASV_10174	Fungi;Ascomycota;Sordariomycetes;NA;NA;NA;NA
ASV_10177	Fungi;Ascomycota;Dothideomycetes;Pleosporales;NA;NA;NA
ASV_10179	Fungi;Basidiomycota;Microbotryomycetes;Microbotryomycetes_ord_Incertae_sedis;Chrysozymaceae;Bannozyma;yamatoana
ASV_1018	Fungi;Ascomycota;Leotiomycetes;Helotiales;Hyaloscyphaceae;Hyaloscypha;finlandica
